"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Get file","LMS service","Sat Jun 28 13:51:25 GMT 2025","passed","Sat Jun 28 13:51:25 GMT 2025","Get entity","Files","",""
"","22","Update exercise","LMS service","Sat Jun 28 13:51:22 GMT 2025","passed","Sat Jun 28 13:51:22 GMT 2025","Update entity","Exercises","",""
"","567","Create user","LMS service","Sat Jun 28 13:51:27 GMT 2025","passed","Sat Jun 28 13:51:28 GMT 2025","Create entity","Users","",""
"","265","Get file with incorrect file id","LMS service","Sat Jun 28 13:51:27 GMT 2025","passed","Sat Jun 28 13:51:27 GMT 2025","Validate entity","Files","",""
"","264","Create file with empty directory","LMS service","Sat Jun 28 13:51:26 GMT 2025","passed","Sat Jun 28 13:51:26 GMT 2025","Validate entity","Files","",""
"","302","Get courses","LMS service","Sat Jun 28 13:51:19 GMT 2025","passed","Sat Jun 28 13:51:20 GMT 2025","Get entities","Courses","",""
"","284","Get exercises","LMS service","Sat Jun 28 13:51:24 GMT 2025","passed","Sat Jun 28 13:51:24 GMT 2025","Get entities","Exercises","",""
"","286","Get exercise","LMS service","Sat Jun 28 13:51:23 GMT 2025","passed","Sat Jun 28 13:51:23 GMT 2025","Get entity","Exercises","",""
"","288","Login with correct email and password","LMS service","Sat Jun 28 13:51:19 GMT 2025","passed","Sat Jun 28 13:51:19 GMT 2025","Login","Authentication","",""
"","552","Create user","LMS service","Sat Jun 28 13:51:27 GMT 2025","passed","Sat Jun 28 13:51:27 GMT 2025","Create entity","Users","",""
"","23","Create file","LMS service","Sat Jun 28 13:51:24 GMT 2025","passed","Sat Jun 28 13:51:24 GMT 2025","Create entity","Files","",""
"","22","Create file with empty filename","LMS service","Sat Jun 28 13:51:25 GMT 2025","passed","Sat Jun 28 13:51:25 GMT 2025","Validate entity","Files","",""
"","299","Delete file","LMS service","Sat Jun 28 13:51:26 GMT 2025","passed","Sat Jun 28 13:51:27 GMT 2025","Delete entity","Files","",""
"","568","Create user","LMS service","Sat Jun 28 13:51:27 GMT 2025","passed","Sat Jun 28 13:51:28 GMT 2025","Create entity","Users","",""
"","13","Get user me","LMS service","Sat Jun 28 13:51:28 GMT 2025","passed","Sat Jun 28 13:51:28 GMT 2025","Get entity","Users","",""
"","20","Delete exercise","LMS service","Sat Jun 28 13:51:23 GMT 2025","passed","Sat Jun 28 13:51:23 GMT 2025","Delete entity","Exercises","",""
"","292","Create exercise","LMS service","Sat Jun 28 13:51:21 GMT 2025","passed","Sat Jun 28 13:51:22 GMT 2025","Create entity","Exercises","",""
"","305","Update course","LMS service","Sat Jun 28 13:51:20 GMT 2025","passed","Sat Jun 28 13:51:20 GMT 2025","Update entity","Courses","",""
"","34","Create course","LMS service","Sat Jun 28 13:51:21 GMT 2025","passed","Sat Jun 28 13:51:21 GMT 2025","Create entity","Courses","",""
